date,region,price_index
2021-04-01,Yorkshire and The Humber,88.4
2021-05-01,Yorkshire and The Humber,89.3
2021-06-01,Yorkshire and The Humber,96.1
2021-07-01,Yorkshire and The Humber,88.2
2021-08-01,Yorkshire and The Humber,91.3
2021-09-01,Yorkshire and The Humber,95.9
2021-10-01,Yorkshire and The Humber,90.7
2021-11-01,Yorkshire and The Humber,93.4
2021-12-01,Yorkshire and The Humber,94.3
2022-01-01,Yorkshire and The Humber,95.1
2022-02-01,Yorkshire and The Humber,95.9
2022-03-01,Yorkshire and The Humber,95.5
2022-04-01,Yorkshire and The Humber,96.5
2022-05-01,Yorkshire and The Humber,98.7
2022-06-01,Yorkshire and The Humber,99.6
2022-07-01,Yorkshire and The Humber,101.4
2022-08-01,Yorkshire and The Humber,102.0
2022-09-01,Yorkshire and The Humber,102.7
2022-10-01,Yorkshire and The Humber,103.0
2022-11-01,Yorkshire and The Humber,103.4
2022-12-01,Yorkshire and The Humber,103.1
2023-01-01,Yorkshire and The Humber,100.0
2023-02-01,Yorkshire and The Humber,100.0
2023-03-01,Yorkshire and The Humber,97.7
2023-04-01,Yorkshire and The Humber,99.3
2023-05-01,Yorkshire and The Humber,98.8
2023-06-01,Yorkshire and The Humber,100.9
2023-07-01,Yorkshire and The Humber,101.8
2023-08-01,Yorkshire and The Humber,103.2
2023-09-01,Yorkshire and The Humber,101.4
2023-10-01,Yorkshire and The Humber,102.0
2023-11-01,Yorkshire and The Humber,101.2
2023-12-01,Yorkshire and The Humber,100.5
2024-01-01,Yorkshire and The Humber,100.0
2024-02-01,Yorkshire and The Humber,99.7
2024-03-01,Yorkshire and The Humber,100.6
2024-04-01,Yorkshire and The Humber,100.2
2024-05-01,Yorkshire and The Humber,101.2
2024-06-01,Yorkshire and The Humber,103.3
2024-07-01,Yorkshire and The Humber,103.3
2024-08-01,Yorkshire and The Humber,105.4
2024-09-01,Yorkshire and The Humber,103.8
2024-10-01,Yorkshire and The Humber,104.3
2024-11-01,Yorkshire and The Humber,105.3
2024-12-01,Yorkshire and The Humber,105.3
2025-01-01,Yorkshire and The Humber,104.4
2025-02-01,Yorkshire and The Humber,105.9
2025-03-01,Yorkshire and The Humber,109.3
2025-04-01,Yorkshire and The Humber,102.3
2025-05-01,Yorkshire and The Humber,105.3
2025-06-01,Yorkshire and The Humber,105.6
2025-07-01,Yorkshire and The Humber,106.9
2025-08-01,Yorkshire and The Humber,108.0
2025-09-01,Yorkshire and The Humber,107.8
2025-10-01,Yorkshire and The Humber,107.6
2011-01-01,East Midlands,55.8
2011-02-01,East Midlands,56.2
2011-03-01,East Midlands,55.8
2011-04-01,East Midlands,56.1
2011-05-01,East Midlands,56.3
2011-06-01,East Midlands,56.4
2011-07-01,East Midlands,57.3
2011-08-01,East Midlands,57.5
2011-09-01,East Midlands,56.8
2011-10-01,East Midlands,56.3
2011-11-01,East Midlands,56.4
2011-12-01,East Midlands,56.8
2012-01-01,East Midlands,55.8
2012-02-01,East Midlands,55.7
2012-03-01,East Midlands,56.1
2012-04-01,East Midlands,56.7
2012-05-01,East Midlands,56.6
2012-06-01,East Midlands,57.1
2012-07-01,East Midlands,57.7
2012-08-01,East Midlands,57.2
2012-09-01,East Midlands,57.0
2012-10-01,East Midlands,57.0
2012-11-01,East Midlands,57.1
2012-12-01,East Midlands,56.9
2013-01-01,East Midlands,56.3
2013-02-01,East Midlands,56.3
2013-03-01,East Midlands,56.7
2013-04-01,East Midlands,57.0
2013-05-01,East Midlands,57.7
2013-06-01,East Midlands,57.8
2013-07-01,East Midlands,58.3
2013-08-01,East Midlands,58.9
2013-09-01,East Midlands,58.7
2013-10-01,East Midlands,59.1
2013-11-01,East Midlands,58.7
2013-12-01,East Midlands,59.7
2014-01-01,East Midlands,59.4
2014-02-01,East Midlands,60.0
2014-03-01,East Midlands,59.9
2014-04-01,East Midlands,61.1
2014-05-01,East Midlands,61.4
2014-06-01,East Midlands,62.0
2014-07-01,East Midlands,62.5
2014-08-01,East Midlands,63.4
2014-09-01,East Midlands,63.5
2014-10-01,East Midlands,63.1
2014-11-01,East Midlands,63.0
2014-12-01,East Midlands,63.0
2015-01-01,East Midlands,62.9
2015-02-01,East Midlands,63.1
2015-03-01,East Midlands,63.3
